barcode,product_name,brands,ingredients_text,nutriscore_grade,nova_group,quantity_g,energy-kcal_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,trans-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,vitamin-a_100g
5909449414056,Ghee,Godrej,,unknown,2,1000,,,,,,,,,,,,
8901262031059,Amul ghee,Amul ghee,,unknown,2,500,,,,,,,,,,,,
8901648094746,Mother Dairy pure ghee 1 ltr,Mother Dairy,,unknown,2,1000,,,,,,,,,,,,
8901725111625,Aashirvaad svasti,Aashirvaad,,unknown,2,,,,,,,,,,,,,
8901826301512,Verka Cow Milk Fat Ghee,Verka,,unknown,2,1000,,,,,,,,,,,,
8904037212721,Cow Ghee,Soul Flavor (Modicare),hdentMikFat Manutactured Under Mostygesic Condtions Untouched by Hand.,unknown,,1000,,99.7,,,,,,,0,0,0,
8904089923415,Cow Ghee,Heritage,,unknown,2,1000,,,,,,,,,,,,
8904106400455,Ghee,Modern Dairy,Milk fat,unknown,2,500,,,,,,,,,,,,
8904109490545,Patanjali COW'S GHEE,Patanjali,Milk fat from cow's milk,e,,500,897.3,99.7,78.46,,,,,,0,0,0,
8904256728256,Pure Cow Ghee,Fresho,,e,2,200,897,99.7,66.1,26.6,2.7,,,4,0,0,0,
8906001727026,Desi Ghee,Paras,,unknown,2,,,,,,,,,,,,,
8906001727149,Desi ghee,Paras,Ghee,e,2,1000,,,,,,,,,,,,
8906016410753,Godrej Jersey Ghee,Godrej Jersey,,unknown,2,100,,,,,,,,,,,,
8906016414058,Ghee,Godrej Jersey,Milk Fat,e,2,,899.1,99.9,63.6,,,,,3.7,0,0,0,
8906017815038,DESI GHEE,MADHUSUDAN,MILK FAT,e,2,1000,897,99.7,61.5,,,,,,0,0,0,
8906017815076,Madhusudan Desi Ghee jar,Madhusudan,,unknown,2,200,,,,,,,,,,,,
8906023641010,Ghee,Thirumala,Milk fat,e,2,1000,897.3,99.7,62.3,,,,,,0,0,0,
8906024482032,Dodla Ghee,Dodla,Milk Fat,e,2,1000,897,99.7,70,,,,,,0,0,0,
8906024482056,Dodla Ghee,Dodla,Milk Fat 99.7%,unknown,2,200,897,99.7,63,,,,,,0,0,0,
8906029780218,milma ghee,milma,Milk fat,unknown,2,200,890,99.7,64,,,,,,,,,0.0005
8906036670885,Pure Ghee,Nandini,Milk Solids (Milk Fat),e,2,1000,897,99.7,65,,,,,0,0,0,0,0.00089
8906112480544,Desi Ghee,Dairy Best,,unknown,2,,,,,,,,,,,,,
8908000655201,Udhaya Krishna Ghee,Udhaya Krishna,,unknown,2,,,,,,,,,,,,,
8908010012452,Sudarshan Agmark Cow Ghee,Sudarshan,,unknown,2,,,,,,,,,,,,,
8908022080098,Ghee,Ashtavinayak,MILK FAT,e,2,450,898,99.81,67,,,,,2,0,0,0,
