barcode,product_name,brands,quantity_g,ingredients_text,nutriscore_grade,nova_group,energy-kcal_100g,fat_100g,saturated-fat_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,trans-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,vitamin-a_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,OFF_URL
745314708449,heechki refined oil,heechki,1000,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/745314708449
785018139125,Refined Sunflower Oil,Priya,1000,"Sunflower Oil (99.99%), Permitted Anti-Oxidants (INS 319) (0.01%)",d,2,900,99.99,12,22,64,,,2,0,0,0,,,,,https://in.openfoodfacts.org/product/785018139125
8410125245170,Figaro Olive Oil,Figaro,100,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8410125245170
8410179101118,Extra virgin olive oil,BORGES,1000,Extra Virgin Olive Oil.,c,2,900,100,16,,,,,0,0,0,0,,,,,https://in.openfoodfacts.org/product/8410179101118
8430689601083,Olive Oil,Queen,400,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8430689601083
8901088000468,Coconut oil,Parachute,500,Coconut Oil,unknown,2,900,100,91,7.1,1.9,,1.9,,,,,,,,,https://in.openfoodfacts.org/product/8901088000468
8901088034593,SAFOLA ACTIVE - MULTI-SOURCE EDIBLE OIL,Saffola,1000,"Refined Rice Bran oil-80%,Refined Soya Bean oil-20%",d,2,900,100,22.2,,,,,1.9,0,0,0,,,,,https://in.openfoodfacts.org/product/8901088034593
8901088043953,parachute oil,Parachute,1000,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8901088043953
8901088136945,100% Pure Coconut Oil,Parachute,,Coconut Oil,e,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8901088136945
8901088155458,Saffola Gold,Saffola,3000,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8901088155458
8901088193801,parachute,Parachute,,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8901088193801
8901207001123,coconut oil,Dabur,,"coconut oil , anti oxident",unknown,2,,100,,,,,,,0,0,0,,,,,https://in.openfoodfacts.org/product/8901207001123
8901207020070,Anmol Gold,Dabur,,Coconut Oil,e,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8901207020070
8901207040450,Roghan Badam Shireen,Dabur,100,,unknown,2,,,,,,,,,,,,,,,,https://in.openfoodfacts.org/product/8901207040450
8901246003591,Extra Virgin Olive oil,Del Monte,250,,c,2,824,91.6,13,,,,,,0,0,0,,,,,https://in.openfoodfacts.org/product/8901246003591
8901246003607,Del Monte Extra Virgin Olive Oil,Del Monte,,,a,2,824,91.6,13,,,,,,0,0,0,,,,,https://in.openfoodfacts.org/product/8901246003607
8901248270212,Emami Healthy & Tasty Refined Sunflower Oil,Emami,1000,"Refined Sunflower Oil, Antioxidants (INS 319 & 330), Antifoaming agent (INS 900a), Vitamin A, E & D",d,4,900,100,16,,,,,,0,0,0,,,,,https://in.openfoodfacts.org/product/8901248270212
