code,product_name,brands,quantity_gms,energy-kcal_100g,carbohydrates_100g,sugars_100g,added-sugars_100g,salt_100g,fat_100g,saturated-fat_100g,proteins_100g,fiber_100g,nova_group,nutriscore_grade,OFF_url
8906116953297,Muscleblaze bgreen Peanut butter,MuscleBlaze,,618.5,12,,0,,46.5,8.44,38,,1,unknown,https://in.openfoodfacts.org/product/8906116953297
8906117403623,Peanut Butter Creamy Unsweetened,The Butternut Co.,,640,15,0,,,50,,32,,1,a,https://in.openfoodfacts.org/product/8906117403623
8906067028846,Healthkart Nouriza Dark chocolate peanut butter,Healthkart Nouriza,1000,565,31.34,17.4,,,38.8,13.24,26.66,8.13,,unknown,https://in.openfoodfacts.org/product/8906067028846
8906050581143,Peanut butter,Fric Bergen,,638,22.3,6.15,,0.548,50.4,10,25,,,e,https://in.openfoodfacts.org/product/8906050581143
8904394734836,Creamy Peanut Butter,MaraNatha,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8904394734836
8908010900087,Pintola organic peanut butter,Pintola,350,639,18,3,0,0.0475,49,7,30,9,,c,https://in.openfoodfacts.org/product/8908010900087
8904335600671,Peanut butter,Yoga Bar,,632,14,0.5,0,0,50.4,12,30.6,6.2,,unknown,https://in.openfoodfacts.org/product/8904335600671
8906127550140,Peanut Butter,Alpino,400,625,18,3,,0.0625,49,12,30,6,,d,https://in.openfoodfacts.org/product/8906127550140
8906143890053,Unsweetened Peanut Butter,The Whole Truth,,651,17.7,3.43,0,0.065,53.4,5.14,25.1,8.57,1,a,https://in.openfoodfacts.org/product/8906143890053
8906069403306,VEEBA PEANUT BUTTER UNSWEETENED,VEEBA,,652,18,4,0,0.075,52,10.4,28,,1,c,https://in.openfoodfacts.org/product/8906069403306
8906127550003,Peanut butter,Alpino,1000,606,21.9,3.12,0,0.0625,46.9,9.38,31.2,9.38,,d,https://in.openfoodfacts.org/product/8906127550003
8901262010504,Peanut Spread Crunchy,Amul,300,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8901262010504
8908010900384,Pintola Peanut Butter,Pintola,1000,639,18,3,0,0.0475,49,7,30,9,1,a,https://in.openfoodfacts.org/product/8908010900384
8901512141804,peanut butter,Sundrop,200,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8901512141804
8906002001163,Peanut Butter (beurre de cacahouète),Dr. Oetker Funfoods,,636,20.3,7.7,,0,50.3,10.1,25.6,,,d,https://in.openfoodfacts.org/product/8906002001163
8908010900049,Peanut Butter,Pintola,350,639,18,3,0,0.048,49,7,30,9,1,c,https://in.openfoodfacts.org/product/8908010900049
8906002006236,Dr. Oetker Peanut Butter,Dr. Oetker Funfoods,400,642,19.3,7.5,,,51,10.4,26.3,,,unknown,https://in.openfoodfacts.org/product/8906002006236
8906067026996,Protein Peanut Butter,MuscleBlaze,750,578.9,19.6,,0,0.0025,40.1,6.7,37,4.2,,unknown,https://in.openfoodfacts.org/product/8906067026996
8906069401111,Veeba  peanut butter,Veeba,340,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8906069401111
8904327600924,Myfitness Peanut Butter,MYFITNESS,510,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8904327600924
8906143890107,dark chocolate peanut butter,The Whole Truth,325,590.3,14.7,4.9,,0.091,13.7,2,17.8,3.5,,b,https://in.openfoodfacts.org/product/8906143890107
8906127550065,Organic Peanut Butter,Alpino,1000,,,,,,,,,,1,c,https://in.openfoodfacts.org/product/8906127550065
8901512881205,Sundrop Peanut Butter Regular,Sundrop,,610,19.8,9.8,5,0.455,49,11,27.9,11,,d,https://in.openfoodfacts.org/product/8901512881205
8047143890152,dark chocolate peanut butter,The Whole Truth,325,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8047143890152
8901512144904,Peanut Butter 100% Natural Crunchy,Sundrop,924,639,15.5,4.3,,0.01175,53.4,10.1,28.3,8.4,1,b,https://in.openfoodfacts.org/product/8901512144904
8906047529547,Disano  peanut butter,Disano,350,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8906047529547
8901088081306,Saffola peanut butter,Saffola,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8901088081306
8904083525585,Organic peanut butter Creamy,24 Mantra Organic,450,540,27,4.5,0,0,40,8,24,10,1,a,https://in.openfoodfacts.org/product/8904083525585
8904335600732,Dark Chocolate Peanut Butter,Yoga Bar,1000,634,20,10,8.75,0.0133,50.3,13.1,25.9,6.3,,d,https://in.openfoodfacts.org/product/8904335600732
8908010900988,High Protein Peanut Butter (Organic Jaggery),Pintola,1000,605,26,16.5,14,0.04475,40,5,33,7,,unknown,https://in.openfoodfacts.org/product/8908010900988
8901512144201,Peanut Butter 100% Natural Creamy,Sundrop,924,639,15.4,4.7,0,0.01225,53,9.4,28.6,6.8,1,b,https://in.openfoodfacts.org/product/8901512144201
