products__code,products__brands,products__product_name,products__nova_group,products__nutriscore_grade,products__energy-kcal_100g,products__fat_100g,products__saturated-fat_100g,products__salt_100g,products__sugars_100g,products__added-sugars_100g,OFF_url
8906017862520,Bisk Farm,Burst,4,e,425.2,16.91,9.57,0.345,44.82,37.02,https://in.openfoodfacts.org/product/8906017862520
8906033743155,Mc Vitie's,Orange Creams,4,e,461,15.5,8.4,0.48,34.4,32.8,https://in.openfoodfacts.org/product/8906033743155
8901652140583,Priyagold,Puff choco vanilla flavoured sandwich biscuits,4,unknown,,,,,,,https://in.openfoodfacts.org/product/8901652140583
8901725134327,Sunfeast,Nice Sugar Sprinkled Biscuits,,unknown,475,17.23,10.9,,31.6,,https://in.openfoodfacts.org/product/8901725134327
8904344620462,LaVida,Cinnamon & Brown Sugar Biscuits,,unknown,100,3,2,,3,,https://in.openfoodfacts.org/product/8904344620462
8904300201520,Mario,Pistachio biscuit,,unknown,440,21,,,,,https://in.openfoodfacts.org/product/8904300201520
8901719121661,Parle,2020 blue,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719121661
8901063016682,Britannia,50-50,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063016682
8906009072784,Unibic,Biscott,,unknown,,,,,,,https://in.openfoodfacts.org/product/8906009072784
8901063162600,Britannia,Marie Gold,,e,445,10.6,5.1,,42,,https://in.openfoodfacts.org/product/8901063162600
8901063139374,Britannia,Bourbon,4,e,493.5,20.3,10.1,0.2975,37,35.1,https://in.openfoodfacts.org/product/8901063139374
7622201756697,Cadbury,Oreo,4,unknown,483,19.6,9.7,0.42,38.8,,https://in.openfoodfacts.org/product/7622201756697
8902041020431,Pickwick ,Creamy Wafer Biscuits,,unknown,,,,,,,https://in.openfoodfacts.org/product/8902041020431
7622202013744,Cadbury,Bournvita biscuit,,unknown,,,,,,,https://in.openfoodfacts.org/product/7622202013744
8901063092501,Britannia,Good Day,4,e,494,22,11,0,22,,https://in.openfoodfacts.org/product/8901063092501
8901719126505,Parle,Hide and seek choco rolls,4,e,522,26.7,12.6,0.245,37,36.8,https://in.openfoodfacts.org/product/8901719126505
8904043550305,Modern Products,Royal plum cake,4,d,365,16.1,8.6,0.2775,33.67,20.64,https://in.openfoodfacts.org/product/8904043550305
8901063029217,Britannia,Jim Jam,4,e,483,19,9.5,0.535,33.5,,https://in.openfoodfacts.org/product/8901063029217
8901063142022,britannnia,Britannia Nutrichoice Digestive,4,unknown,493,21,10,,14.5,,https://in.openfoodfacts.org/product/8901063142022
8901063012622,Britannia,Milk Bikis,4,d,471.7,18,8.8,0.7175,23.4,22.5,https://in.openfoodfacts.org/product/8901063012622
8901063035102,Britannia,Milk Bikis,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063035102
8901063017795,Britannia,5050 Golmaal,,unknown,15.5,11.5,1.84,0,0,,https://in.openfoodfacts.org/product/8901063017795
8906001385295,Cremica,Kaju Khajoor Cookies,4,e,478,19.6,9.7,0.9375,25,24,https://in.openfoodfacts.org/product/8906001385295
8901719123429,Parle,Fab! Bourbon,4,e,472,16.7,8.2,0.25,41.9,41.7,https://in.openfoodfacts.org/product/8901719123429
8901063142015,Britannia ,Digestive Nutri Choice,4,d,481,20.9,10.4,0,13.1,,https://in.openfoodfacts.org/product/8901063142015
8901719123788,Parle,Parle manaco 250g,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719123788
8901928272703,Bisk Farm,BISK FARM Chatpata,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901928272703
8901972006040,Dukes,Nice Sugar sprinkled coconut biscuits,4,e,454,14.5,7.5,0.625,28.2,,https://in.openfoodfacts.org/product/8901972006040
8901719130045,Parle,Parle happy happy 396,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719130045
8901063093355,Britannia,Good Day Cashew Cookies Medium Pack 600g,4,e,504,24,11,0,22,,https://in.openfoodfacts.org/product/8901063093355
8906009533148,RiteBite,Max Protein GrainBreakfast Cookie,,unknown,236,13.69999981,8.100000381,,,,https://in.openfoodfacts.org/product/8906009533148
8901725013042,Sunfeast,Marie Light,4,d,452,13,6.3,0.772,22.2,,https://in.openfoodfacts.org/product/8901725013042
8901719125768,Parle,Hide & Seek Milano Chocolate Chip,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719125768
8906074826640,Karachi Bakery,Vegan Pistachio Millet Biscuit,3,d,571.4285714,37.5,15.53571429,0.3035714286,20.53571429,,https://in.openfoodfacts.org/product/8906074826640
8901063162242,Britannia,Britannia Marie Gold,4,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063162242
8906084560022,Vaidya's,Ragi with oats biscuits,,unknown,463.83,20.23,0,,3.13,,https://in.openfoodfacts.org/product/8906084560022
8906009077802,Unibic,Shortbread,,e,516,27.5,17.52,0,18,,https://in.openfoodfacts.org/product/8906009077802
7622201756741,Oreo,Sandwich Biscuit,4,e,483,19.7,9.8,1.05,38,37.9,https://in.openfoodfacts.org/product/7622201756741
8901063016859,Britannia,50 50 Sweet & Salty,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063016859
8906001385783,Cremica,Glucose,,unknown,,,,,,,https://in.openfoodfacts.org/product/8906001385783
8901063017702,Britannia,50 50 Gol Maal,4,e,508,23.2,11.2,1.145,21.8,,https://in.openfoodfacts.org/product/8901063017702
8901725132873,Sunfeast,dark fantasy,4,e,504,25,11.4,0.1,37.6,,https://in.openfoodfacts.org/product/8901725132873
8996001312506,Mayora,Malkist Cheese Flavoured Crunchy Layered Cracker Biscuits,4,e,491,22.8,15.3,1.3575,32.3,,https://in.openfoodfacts.org/product/8996001312506
8904022903863,Bonn,Butter Bonn Biscuits,,e,503,19.4,9.46,0.87,26.5,,https://in.openfoodfacts.org/product/8904022903863
8906137490146,DiamondR,Coconut Dreamz Biscuit,,e,442,12.7,6.1,0.37,31.5,,https://in.openfoodfacts.org/product/8906137490146
840205718573,Pran,Potato spicy biscuit,,e,456,14.8,5.6,2.45,22,22,https://in.openfoodfacts.org/product/840205718573
7622201428525,Oreo,Oreo,,e,483,19.6,9.7,1.05,38.8,,https://in.openfoodfacts.org/product/7622201428525
8901725113544,Sunfeast,Sunfeast glucose biscuits,,d,437,10.4,0.01,1.43775,28.5,,https://in.openfoodfacts.org/product/8901725113544
8901063362871,britannia,cake nut & raisin,4,unknown,410,18,8,,32.5,,https://in.openfoodfacts.org/product/8901063362871
961475015275,"Dark Fantasy,Sunfeast",Choco Fills,4,e,513,26.5,12.9,0.41625,34.4,31.7,https://in.openfoodfacts.org/product/961475015275
8901725000295,Sunfeast,Sunfeast glucose plus+,4,e,440,10.6,5.3,1.053,27.7,27.7,https://in.openfoodfacts.org/product/8901725000295
8906009077543,Unibic,Sugar Free Multigrain Cookies,4,d,463,19.9,11.6,0.625,0.5,,https://in.openfoodfacts.org/product/8906009077543
8901719130151,Parle,Parle hide &seek milano 125g,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719130151
8901719107870,Parle,Choco rolls,4,e,522,26.7,12.6,0.245,37,,https://in.openfoodfacts.org/product/8901719107870
8901063363779,Britannia,Britannia cake fruity fun,4,d,417,17.8,1.5,0.535,27.1,,https://in.openfoodfacts.org/product/8901063363779
8901719125478,Parle,Parle-G gold 75g,4,d,454,13,6,0.74,25.5,,https://in.openfoodfacts.org/product/8901719125478
8901719124143,Parle,ParleG gold 75 g,,e,462,14.6,6.8,0.7025,27.7,,https://in.openfoodfacts.org/product/8901719124143
8901063142428,Britania,Nutri choice Digestive,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063142428
50166480,Mars,Twix,,unknown,,,,,,,https://in.openfoodfacts.org/product/50166480
8901063365216,britannia,biscafe,4,e,485,19,9.3,0,21.5,,https://in.openfoodfacts.org/product/8901063365216
8901063029309,Britannia,Jimjam Pops,4,unknown,500,21.7,12.2,0.49,37.3,,https://in.openfoodfacts.org/product/8901063029309
8901063162549,Britannia,ENIC AND,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063162549
8901063017627,Britannia,Brit 50-50 maska chaska 40g (20),4,d,,,,,,,https://in.openfoodfacts.org/product/8901063017627
8901063142442,Britannia,Nutri Choice Seeds,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063142442
8903363008688,Bisky Bites,Choco Blast Sandwich Biscuits,4,e,469.1,19.5,9.5,1.04675,35.8,34.5,https://in.openfoodfacts.org/product/8903363008688
8901725016296,Sunfeast,"Dark Fantasy Bourbon Biscuits,",4,unknown,479,18,8.8,0.233,36.4,,https://in.openfoodfacts.org/product/8901725016296
8901719122644,Parle,Happy Happy Choco-Chip Cookies,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901719122644
8901063164321,Britannia,Tiger Kreemz Orange,,unknown,,,,,,,https://in.openfoodfacts.org/product/8901063164321
8906071887781,Lávian Exotique,CrèmeCups,,e,418.47,19.14,9.21,0.3469,31.35,24.63,https://in.openfoodfacts.org/product/8906071887781
