barcode,product name,quantity_gms,packaging,brands,ingredients,energy-kcal,fat_value_gms,saturated-fat_value_gms,carbohydrates_value_gms,sugars_value_gms,fiber_value_gms,proteins_value_gms,salt_value_mg,sodium_value_mg,added-sugars_value_gms,nova_groups,nutriscore_grade,OFF_url
8904043551586,Modern Brown Bread,300,,Modern,"Whole Wheat Flour (Atta) (31%), Refined Wheat Flour (Maida) (30%), Sugar, Wheat Bran, Yeast, Gluten, iodized Salt, Edible Vegetable Fat (Interesterified), Preservative (282), Malt Product, Emulsifier (471), Acidity Regulators {341(0), 260), Flour Treatment Agents (510, 1100(i)} and Antioxidant (300).",,,,,,,,,,,4,unknown,https://in.openfoodfacts.org/product/8904043551586
8906020460683,Harvest Gold 100% Whole Wheat Bread,450,,Harvest Gold,"Whole Wheat Flour Atta (54%), Sugar, Wheat Protein, Yeast, Wheat Bran (3%), Refined Soyabean Oil, Refined Palmolein Oil, Class 2 Preservative (E282), Permitted Emulsifier, Acidity Regulator, Antioxidant",251,1.19,0.42,51,3.6,6.4,9.3,1200,480,,3,a,https://in.openfoodfacts.org/product/8906020460683
8901063338623,Multi Grain Bread,400,,Britannia,"WHOLE WHEAT FLOUR (ATTA) (52%), LEGUMES & OIL SEEDS-6% (SOYA FLAKES, SUNFLOWER SEEDS, FLAX SEEDS, MELON SEEDS, SESAME SEEDS), YEAST, ROLLED OATS (2%), RAGI FLOUR (2%), WHEAT BRAN (1.4%), SUGAR, IODISED SALT, EDIBLE VEGETABLE OIL (PALM), WHEAT GRITS (0.4%), CLASS II PRESERVATIVE (282), IMPROVERS (1100(i), 1102, 1104), EMULSIFIERS (471, 481(i), 472e), ACIDITY REGULATOR (260) AND FLOUR TREATMENT AGENT (510). CONTAINS PERMITTED NATURAL FOOD COLOUR (150a)",260,4,0.5,47,1.5,7,9,,,,4,unknown,https://in.openfoodfacts.org/product/8901063338623
8904256700863,Whole Wheat Bread,400,,Fresho,"Whole wheat flour (Atta), Refined wheat flour (Maida), Sugar, Edible vegetable fat, Yeast, lodized Salt, Edible vegetable oil (palm oil), Gluten, Whole wheat kernels, Improver, Caramel Colour (INS 150a)",294,4,2.8,55,4.03,1.47,9.7,1253,501.2,,4,c,https://in.openfoodfacts.org/product/8904256700863
8904043552347,Modern Sandwich Supreme,600,Plastic,Modern Foods,"Fine Wheat Flour, Sugar, Yeast, Salt (lodized), Edible Vegetable Fat (Interesterified), Gluten, Soya Flour, Preservative - 282, Flour Treatment Agent - 510 & 1100, Emulsifier - 471, Acidity Regulator - 260 and Antioxidant - 300.",254,2.1,1.37,51,6.3,,7.9,,,,4,unknown,https://in.openfoodfacts.org/product/8904043552347
0922421029104,Sandwich bread,100,,English Oven,"Refined wheat flour (Maida),Water,Yeast,Sugar,Edible Common Salt,Edible Vegetable Oils(palm) Wheat Gluten, Soya Flour,CLASS II Preservative (282),Acidity Regulator (260),Emulsifier [471, 472e, 481(l)],Improvers [170(l),510,923,1100] and Antioxidant (300)",,1,0.2,54.86,,,,,,,4,unknown,https://in.openfoodfacts.org/product/0922421029104
8901719117251,Rusk Real Premium Elaichi,400,Plastic,Parle,"REFINED WHEAT FLOUR (MAIDA) (68%), SUGAR, REFINED PALM OIL, SUJI, YEAST, IODISED SALT, WHEAT ĠLUTÉN, EMULSIFIERS OF VEGETABLE ORIGIN [(322, 481(i), 472e, 471)], WHEAT FIBRE, SPICES [CARDMOM SEEDS (0.08%)], ANTIÒXIDANT (300], FLOÚR TREATMENT AGENT [1100(1). CONTAINS ADDED FLAVOURS (ARTIFICIAL FLAVOURING SUBSTANCES - CARDAMOM) CONTAINS : WHEAT, SOYA",,9.1,,55.3,25.1,,7.6,,,,4,unknown,https://in.openfoodfacts.org/product/8901719117251
8906001388609,Brown Sliced Brown Bread,400,,English Oven,"WHEAT FLOUR [ATTA (50%)], REFINED WHEAT FLOUR [MAIDA (50%)], WATER, YEAST, SUGAR, IODIZED SALT, WHEAT GLUTEN, EDIBLE BRAN VEGETABLE OIL (PALM), CLASS II PRESERVATIVE (282), MALT POWDER, WHEAT IMPROVERS [170 (i), 510, 923, 1100], ACIDITY REGULATOR (260), EMULSIFIERS [471, 472e, 481 (i)] AND ANTIOXIDANT (300)",257.28,2.56,0.62,48.87,2,,10.45,890,356,,4,b,https://in.openfoodfacts.org/product/8906001388609
8901063325609,Toastea premium rusk,200,Plastic,Britannia,"REFINED WHEAT FLOUR (MAIDA) (71), SUGAR REFINED PALM AND PALMOLEIN OIL, SEMOLINA (SUJI) (1.8%), YEAST, INVERT SUGAR SYRUP, VITAL GLUTEN, 1ODISED SALT, IMPROVERS (11000), 1102, 11041, SPICES-0.19% (GREEN CARDAMOM SEEDS& ITS OIL), WHEAT FIBRE, EMULSIFIER BLEND (481(), 471, 472e] AND ANTIOXIDANT (300).",433,8.3,3.9,80.7,23,0,9,555,222,,4,d,https://in.openfoodfacts.org/product/8901063325609
8904043551548,100% Whole Wheat Bread,,,Modern,"Whole Wheat Flour (Atta) (57.3%), Sugar, Gluten, Yeast, Edible Vegetable Oil (Refined Sunflower Oil), lodized Salt, Milk Solids, Oat Flour, Soya Flour, Preservatives (282, 200), Malt Product, Flour Treatment Agents (510, 1100(i)), Acidity Regulators (341(1), 260), Emulsifier (471) and Antioxidant (300).",,,,,,,,,,,4,unknown,https://in.openfoodfacts.org/product/8904043551548
8906018080282,Southern Classic Bread,400,Plastic,Fresh choice,"Refined wheat flour (maida), Sugar Edible vegetable fat, Salt, Yeast Improper {Flour treating agent (1100), stabilizer (170 l), emulsifier (481), Antioxidants (300)}, Preservative (282), Acidity Regulator (260) (Number the brackets are as per international numbering system) Allergen Information : Contains wheat glute, traces of milk solids",276.5,0.8,0.6,,13,,,,,,4,unknown,https://in.openfoodfacts.org/product/8906018080282
8901063342934,100% Whole Wheat Sandwich Bread,450,,Britannia,"WHEAT FLOUR (ATTA) (62%), YEAST, WHEAT BRAN, VITAL GLUTEN, SUGAR, IODISED SALT, REFINED PALMOLEIN OIL, COLOUR (150a), PRESERVATIVE (282), IMPROVERS (1100(i), 1104, 1102, XYLANASE), EMULSIFIERS (471, 481(i), 472e), ACIDITY REGULATOR (260) AND FLOUR TREATMENT AGENT (510).",242,2,1,50,2,4,8,1250,500,1.5,4,b,https://in.openfoodfacts.org/product/8901063342934
8901018018259,Sandwich Bread,400,,Nilgiris,"Refined Flour, Water, Sugar, Edible Vegetable Oil (Refined Palmolein Oil), Yeast, lodised Salt, Wheat Gluten, Bread Improver INS-1100, Preservative INS-282, Soya Flour, Emulsifier INS-471, 481, Acidity Regulator-INS 260.",270.6,1.9,,54.98,5.06,2.1,8.4,,,,4,unknown,https://in.openfoodfacts.org/product/8901018018259
8906007610124,Brown Bread,400,,Kwality,"Whole Wheat Flour (Atta), Water, Refined Wheat Flour (Maida), Wheat Bran, Suga Wheat Gluten, Malt Extract, lodized Sat Hydrogenated Vegetable (Palm) Fat, Edible Vegetable (Palm) Oil, CLASS 11 PRESERVATIVE (INS 282). ACIDITY REGULATOR (INS 260), EMULSIFIER (INS 481), IMPROVERS (INS 1100, 170(1)) & ANTIOXIDANT (INS 300)",264.12,,,,,,,,,,4,unknown,https://in.openfoodfacts.org/product/8906007610124
8908001032117,Everyday 100% whole wheat bread,450g,,Everyday,"Whole Wheat Flour, Wheat Bran, Gluten, Sugar, Yeast, Salt, Edible Vegetable Oil, Soya Flour, Emulsifier [INS 471, 481(1)], Preservative (INS 282), Condensed Milk, Antioxidant (INS 300), Improver (INS 1100), Acidity Regulator (INS 260).",,,,,,,,,,,4,unknown,https://in.openfoodfacts.org/product/8908001032117
8908001032124,Multi Grain Bread,350,,EveryDay,"WHOLE WHEAT FLOUR, LEGUMES AND OIL SEEDS (SOYA FLAKES, SUNFLOWER SEEDS, FLAX, MELON SEEDS. SESAME SEEDS), YEAST, ROLLED OATS, RAGI FLOUR, WHEAT BRAN, SUGAR, SALT, EDIBLE VEGETABLE OIL, WHEAT GRITS, CLASS II PRESERVATIVE (282), EMULSIFIERS (471), IMPROVER (1100), ACIDITY REGULATOR (260), ANTI OXIDANTS (300), FLOUR TREATMENT AGENT (510) :",260,4,0.5,47,2,7,9,,,,4,unknown,https://in.openfoodfacts.org/product/8908001032124
8901063342026,Vitarich Sandwich Premium White Bread,400g,Plastic,Britannia,"REFINED WHEAT FLOUR (MAIDA), WATER, SUGAR, VITAL GLUTEN, YEAST, IODISED SALT, REFINED PALMOLEIN OIL, SOYA FLOUR, PRESERVATIVE (282), EMULSIFIERS [471, 481() & 472e], DOUGH CONDITIONERS [516, 1700)], ACIDITY REGULATOR (260), STABILIZER (412), VITAMINS, FLOUR TREATMENT AGENT (510), IMPROVERS [1100(1), 1104, 1102 & XYLANASE] AND ANTIOXIDANT (300)",252,1.5,0.5,51.2,3,,8.2,1090,436,3,4,b,https://in.openfoodfacts.org/product/8901063342026
8904043553054,Milk Plus Bread,450,Plastic,Modern,"Refined Wheat Flour (Maida). Sugar, Milk Solids (34%), Yeast, lodized Salt. Edible Vegetable Fat (Interestenfied), Gluten, Soya Flour,preservatives (282, 200), Flour Treatment Agents (341(iIi)) 510, 1100 1100(i)), Stabilizer (170(0)), Emulsifier (481(i)) Acidity Regulator (260) and Antioxidant (300). (Numbers referred above are as per International Numbering System) Contains Wheat, Milk and Soya.",272,2.05,1.4,56,,,7.4,,,12.4,4,unknown,https://in.openfoodfacts.org/product/8904043553054
