barcode,product_name,brands,quantity,calcium_100g,proteins_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,salt_100g,cholesterol_100g,nova_group,nutriscore_grade,OFF_url
8906024480175,Dodla milk,Dodla,,,,,,,,,,1,a,https://in.openfoodfacts.org/product/8906024480175
8901553111040,Rich milk,Keventer,,,3.05,4.6,3,5.07,,0.08,0.019,1,unknown,https://in.openfoodfacts.org/product/8901553111040
8904089915168,Special Long Life Milk,Heritage,500ml,0.125,3.1,3,2,4.5,,0.1,0.012,1,unknown,https://in.openfoodfacts.org/product/8904089915168
8901826601100,Verka Gold,Verka,500ml,,3.2,6,3.9,5,5,0.14625,,1,c,https://in.openfoodfacts.org/product/8901826601100
8901262151368,Moti,Amul,,,,,,,,,,1,a,https://in.openfoodfacts.org/product/8901262151368
8906001028222,Daily Milk,Go,1L,0.085,3.1,1.3,0.8,5.15,0,0.0625,,1,a,https://in.openfoodfacts.org/product/8906001028222
8907848000129,Suprabhatam UHT Processed Toned Milk,Vijaya Telangana,500ml,,3.1,3,,4.7,,,,1,unknown,https://in.openfoodfacts.org/product/8907848000129
8902286041239,Milk,Visakha Dairy,,,,,,,,,,1,a,https://in.openfoodfacts.org/product/8902286041239
8901262151269,Amul Moti,Amul,140ml,0.11,3,3,2,4.8,4.8,0.0925,,1,b,https://in.openfoodfacts.org/product/8901262151269
8901262150088,Amul Taaza,Amul,200 ml,,3,3,2,4.8,0,,,1,unknown,https://in.openfoodfacts.org/product/8901262150088
8901262260121,amul taaza toned milk,Amul,500 ml,0.11,3,3,2,4.7,4.7,0.1,0.008,1,b,https://in.openfoodfacts.org/product/8901262260121
8908001700184,Namaste India,Namaste India,230 ml,0.23524,3.52,3.1,2.23,7.8,0,0.108331,0.01353,1,b,https://in.openfoodfacts.org/product/8908001700184
8906049972433,Sudha Shakti Milk,Sudha,500 ml,,3,4.5,,4.95,,,0.015,1,unknown,https://in.openfoodfacts.org/product/8906049972433
8901648920229,Full cream Milk,Mother Diary,500ml,,,,,,,,,1,b,https://in.openfoodfacts.org/product/8901648920229
8906137050036,Milma Pride,Milma,500 ml,,,,,,,,,1,a,https://in.openfoodfacts.org/product/8906137050036
8906077560022,Pasteurized Toned Milk,PDDP,475 ml,,3.3,3.4,2.4,5,,0.09525,0.0074,1,unknown,https://in.openfoodfacts.org/product/8906077560022
8906036673596,GoodLife Toned Milk,Nandini,500ml,,3.3,3.1,2,4.8,4.8,0.125,0.0093,1,b,https://in.openfoodfacts.org/product/8906036673596
8906036674265,Desi Cow Milk,Nandini,500ml,,,,,,,,,1,unknown,https://in.openfoodfacts.org/product/8906036674265
8906043701435,Premium Milk,Omfed,500ml,0.155,3.3,3.5,,4.81,,,,1,unknown,https://in.openfoodfacts.org/product/8906043701435
8901262260152,Slim 'n' Trim,Amul,500ml,0.12,3.2,1.5,1,5,5,0.105,,1,b,https://in.openfoodfacts.org/product/8901262260152
