code,product_name,brands,energy-kcal_100g,proteins_100g,carbohydrates_100g,sugars_100g,fat_100g,salt_100g,saturated-fat_100g,calcium_100g,fiber_100g,cholesterol_100g,nova_group,nutriscore_grade,quantity_g,URL
8904083300021,Paneer,Milky Mist,283,16.1,5.1,5.1,22,0.3125,12,0.529,,0.059,3,c,200,https://world.openfoodfacts.org/product/8904083300021
8901262180115,malai paneer fresh,Amul,312,20,4,4,24,0.024,14.4,0.48,,0.07,3,c,200,https://world.openfoodfacts.org/product/8901262180115
8906129282742,Low Fat Paneer,Frubon,173,24.5,4,4,6.5,0.06,4.2,,,0.018,3,a,,https://world.openfoodfacts.org/product/8906129282742
8904083300106,MilkyMist Paneer,MilkyMist,203.8,25,5.7,5.7,9,,,,,,3,unknown,200,https://world.openfoodfacts.org/product/8904083300106
8906036670977,Nandini Paneer,Nandini,344,21.4,1.5,,28,,,,,,,unknown,200,https://world.openfoodfacts.org/product/8906036670977
8904192205392,A2 Paneer,Dairy Tales,297,18.6,4.5,4.5,22.7,,15.7,,,,,unknown,,https://world.openfoodfacts.org/product/8904192205392
8908021743000,Fresh paneer,Healthy India,305,18.5,2.5,,25,,,0.485,,,3,unknown,200,https://world.openfoodfacts.org/product/8908021743000
8908003249070,Akshayakalpa Malai Paneer,Akshayakalpa,300,20.5,0.5,0,24,0.03925,17.9,,,,3,c,200,https://world.openfoodfacts.org/product/8908003249070
8906084521597,Low Fat Paneer,Desi Farms,156,17,4,1.2,8,0.155,4.7,0.21,,0.018,3,a,200,https://world.openfoodfacts.org/product/8906084521597
8901262180429,High Protein Paneer,Amul,170,25,4,4,6,0.475,4,0.35,,0.015,,b,400,https://world.openfoodfacts.org/product/8901262180429
8901262180146,Amul Malai Paneer,Amul,312,20,4,4,24,0.06,14.4,0.48,,0.07,3,c,1000,https://world.openfoodfacts.org/product/8901262180146
8908001631211,Fresh paneer,Aroma,298,17.43,5.27,,23,0.2306,13.6,,0,,3,unknown,200,https://world.openfoodfacts.org/product/8908001631211
8901725013318,Aashirvaad svasti Paneer Slices,"Aashirvaad,svasti",290,18,2.7,2.7,23,0.0625,15.3,0.475,,0.064,3,c,200,https://world.openfoodfacts.org/product/8901725013318
8904089929110,Fresh Paneer,Heritage,274,16,36,,22,0.0625,14.5,,,0.066,3,unknown,200,https://world.openfoodfacts.org/product/8904089929110
8906016411453,Soft Paneer,"Jersey,Godrej",291,17,4.2,4.2,23,0.06075,14.6,,,0.014,3,c,200,https://world.openfoodfacts.org/product/8906016411453
8901262180016,Malai Paneer,Amul,314,20,4.5,4.5,25,0.055,15,0.48,,0.065,3,c,200,https://world.openfoodfacts.org/product/8901262180016
8904124108098,Paneer,Ananda,309,18.5,2.5,0,17.25,0,16,0.485,0,,3,c,200,https://world.openfoodfacts.org/product/8904124108098
8906023642048,Paneer,Thirumala,271.8,14,2.2,2.2,23,0.045,14.4,0.475,,0.086,3,c,400,https://world.openfoodfacts.org/product/8906023642048
