barcode,product_name,brands,quantity_gms,energy-kcal_100g,carbohydrates_100g,sugars_100g,added-sugars_100g,salt_100g,fat_100g,saturated-fat_100g,proteins_100g,fiber_100g,nova_group,nutriscore_grade,OFF_url
8904132924390,Poha Khatta Meetha Mix,Desi Kitchen,60,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8904132924390
8906031312735,Hi-Nutrition Breakfast Cereal,Enerva,350,421.4,78.2,4.5,,0.5785,6.6,0,12.3,5.5,,a,https://in.openfoodfacts.org/product/8906031312735
8904335602262,Cornflakes+,Yoga Bar,850,379,87.9,10.5,7.5,1.1,0.3,0.1,6.4,2.6,4,c,https://in.openfoodfacts.org/product/8904335602262
8904083525646,Organic Ragi Flakes,24 Mantra Organic,,100,23,,,,,,2,2,,unknown,https://in.openfoodfacts.org/product/8904083525646
8541810205206,Bagrry's Corn Flakes Plus,Bagrry's,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8541810205206
8906014903394,Kwality Choco Flakes,Kwality,,,,,,,,,,,4,unknown,https://in.openfoodfacts.org/product/8906014903394
8904132946323,Masti Oye Poha,Masti Oye!,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8904132946323
8903363000279,Poha Jada,DMart Premia,1000,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8903363000279
8904132919419,Poha Mix,Desi Kitchen,60,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8904132919419
8905507001210,Poha,First Crop,500,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8905507001210
8906002348169,Poha Mota,Rajdhani,500,390,88,0,,0.03048,1,0,,3,,unknown,https://in.openfoodfacts.org/product/8906002348169
8906014903592,Muesli Fruit & Nut,Kwality,,344,70,12,10.9,0.19375,22,0.04,8.2,6.3,4,a,https://in.openfoodfacts.org/product/8906014903592
8904132928640,Oats,Aarambh,,,,,,,,,,,1,a,https://in.openfoodfacts.org/product/8904132928640
8901499007704,Oats,Kellogg's,35,,,,,,,,,,1,a,https://in.openfoodfacts.org/product/8901499007704
8901499008701,Special K original,Kellogg's,900,360,85.3,25,,0.42,1,0.3,8.3,1.5,,c,https://in.openfoodfacts.org/product/8901499008701
8908005144632,Muesli dark chocolate cranberry,Yoga Bar,,437,67,6.7,,0.2265,13.3,4.9,12.3,9.4,,c,https://in.openfoodfacts.org/product/8908005144632
8901088155496,Oats,Saffola,,369,66.8,0.5,,0,8,1.6,12.6,10.4,1,a,https://in.openfoodfacts.org/product/8901088155496
8908002984262,Soulfull Ragi Bites,Soulfull,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8908002984262
8901491103800,Oats,Quaker,1000,407,,1.8,,0.0095,9.5,1.9,11.8,10,1,a,https://in.openfoodfacts.org/product/8901491103800
8901499010230,Oats,Kellogg's,,379,67.8,1.3,,0.0175,9,1.7,11.6,10,1,a,https://in.openfoodfacts.org/product/8901499010230
8905507001180,First Crop Corn Flakes,First Crop,500,,,,,,,,,,3,unknown,https://in.openfoodfacts.org/product/8905507001180
8905507001166,First Crop Fruit & Nut Muesli,First Crop,500,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8905507001166
