code,product_name,brands,categories,nova_group,nutriscore_grade,url
8901260000000,Amul Belgian chocolate,Amul,Chocolate bars,4,unknown,http://world-en.openfoodfacts.org/product/8901262071017/amul-belgian-chocolate
8901260000000,Amul Butterscotch Bliss,Amul,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams",4,c,http://world-en.openfoodfacts.org/product/8901262170093/amul-butterscotch-bliss
8901260000000,Amul Butterscotch Gold,Amul,ice creams,4,unknown,http://world-en.openfoodfacts.org/product/8901262174480/amul-butterscotch-gold
2000000000000,Amul Cheese Slices,Amul,"Dairies, Fermented foods, Fermented milk products, Cheeses, Processed cheese, Processed cheese in slices",4,e,http://world-en.openfoodfacts.org/product/2000000136641/amul-cheese-slices
8901260000000,Amul Chocobar Probiotic,Amul,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream bars",4,c,http://world-en.openfoodfacts.org/product/8901262176224/amul-chocobar-probiotic
8901260000000,Amul Chocolate Brownie,Amul,"Chocolate icecream, Icecream",4,d,http://world-en.openfoodfacts.org/product/8901262172448/amul-chocolate-brownie
8901260000000,Amul Frostik Gold,Amul,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream bars,Ice cream bars coated with chocolate",4,unknown,http://world-en.openfoodfacts.org/product/8901262300520/amul-frostik-gold
8901260000000,Amul Fruit 'N&quot; Nut,Amul,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",4,d,http://world-en.openfoodfacts.org/product/8901262070058/amul-fruit-n-nut
8901260000000,Amul Kool Premium Kesar Flavour,Amul,"Beverages and beverages preparations,Beverages,Dairies,Dairy drinks",4,e,http://world-en.openfoodfacts.org/product/8901262152341/amul-kool-premium-kesar-flavour
8901260000000,Amul Lassi,Amul,"Beverages and beverages preparations, Beverages, en:yogurt-drinks",4,e,http://world-en.openfoodfacts.org/product/8901262202046/amul-lassi
8901260000000,Amul Lassi 200ml,Amul,"Beverages, Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Dairy drinks, Fermented dairy desserts, Fermented drinks, Yogurts, Fermented milk drinks, Drinkable-yogurts, Lassi, en:yogurt-drinks",4,e,http://world-en.openfoodfacts.org/product/8901262200189/amul-lassi-200ml
8901260000000,Amul Lassi 250 ml,Amul,"Beverages, Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Dairy drinks, Fermented dairy desserts, Fermented drinks, Yogurts, Fermented milk drinks, Drinkable-yogurts, Dairy based drink, en:yogurt-drinks",4,e,http://world-en.openfoodfacts.org/product/8901262151696/amul-lassi-250-ml
8901260000000,Amul Masti Spiced Buttermilk,Amul,"Beverages, Dairies, Fermented foods, Fermented milk products, Milks, Buttermilks",4,c,http://world-en.openfoodfacts.org/product/8901262200196/amul-masti-spiced-buttermilk
4901960000000,Amul Pasteurised Butter,Amul,"Dairies,Butters",4,unknown,http://world-en.openfoodfacts.org/product/4901960000016/amul-pasteurised-butter
8901260000000,Amul Pizza Margherita,Amul,"Meals,Pizzas pies and quiches,Pizzas,Vegetarian pizzas,Cheese pizzas",4,d,http://world-en.openfoodfacts.org/product/8901262220965/amul-pizza-margherita
8901260000000,Amul Pro Chocolate 500g pp,Amul,"Beverages, Sweetened beverages",4,e,http://world-en.openfoodfacts.org/product/8901262130325/amul-pro-chocolate-500g-pp
8901260000000,Amul Spiced Buttermilk,Amul,"Dairies,Fermented foods,Fermented milk products,Milks,Buttermilks",4,unknown,http://world-en.openfoodfacts.org/product/8901262201001/amul-spiced-buttermilk
8901260000000,Amul Sugar free chocolate,Amul,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, Sugar free chocolate, en:chocolate-candies",4,d,http://world-en.openfoodfacts.org/product/8901262071048/amul-sugar-free-chocolate
8901260000000,Amul Vanilla Gold,Amul,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, en:ice-cream-tubs",4,d,http://world-en.openfoodfacts.org/product/8901262174244/amul-vanilla-gold
8901260000000,Amul kool elaichi 180ml,Amul,"Beverages, Dairies, Dairy drinks",4,e,http://world-en.openfoodfacts.org/product/8901262152228/amul-kool-elaichi-180ml
8901260000000,Black Currant Tri Cone,Amul,"Black currant ice cream cone, en:ice-creams",4,d,http://world-en.openfoodfacts.org/product/8901262178365/black-currant-tri-cone-amul
8901260000000,Butter Nankhatai,Amul,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",4,e,http://world-en.openfoodfacts.org/product/8901262221382/butter-nankhatai-amul
8901260000000,Butterscotch Bliss,Amul,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream in a box",4,d,http://world-en.openfoodfacts.org/product/8901262173223/butterscotch-bliss-amul
41102177191,Cassatta,Amul,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams",4,d,http://world-en.openfoodfacts.org/product/0041102177191/cassatta-amul
8901260000000,Cheese Spread,Amul,Cheese spreads,4,unknown,http://world-en.openfoodfacts.org/product/8901262060011/cheese-spread-amul
8901260000000,Cheese slices,Amul,"Dairies,Fermented foods,Fermented milk products,Cheeses,Processed cheese,Processed cheese in slices",4,e,http://world-en.openfoodfacts.org/product/8901262020015/cheese-slices-amul
8901260000000,Choco Almond N' Kesar Badam Double Sundae,Amul,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, Ice cream tubs",4,d,http://world-en.openfoodfacts.org/product/8901262178068/choco-almond-n-kesar-badam-double-sundae-amul
8901260000000,Chocolate Cookies,Amul,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Chocolate biscuits",4,e,http://world-en.openfoodfacts.org/product/8901262220552/chocolate-cookies-amul
8901260000000,Chocolate Crackle Ice cream,Amul,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream in a box",4,d,http://world-en.openfoodfacts.org/product/8901262300117/chocolate-crackle-ice-cream-amul
8901260000000,Chocolate Magic Sundae,Amul,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets",4,e,http://world-en.openfoodfacts.org/product/8901262178075/chocolate-magic-sundae-amul
8901260000000,Chocominis,Amul,Amul Dark Chocolate,4,e,http://world-en.openfoodfacts.org/product/8901262070546/chocominis-amul
8901260000000,Chocozoo,Amul,sweet snacks,4,e,http://world-en.openfoodfacts.org/product/8901262071581/chocozoo-amul
8901260000000,Cookie Sub,Amul,Ice cream sandwiches,4,d,http://world-en.openfoodfacts.org/product/8901262178440/cookie-sub-amul
8901260000000,Dark Chocolate,Amul,"Snacks,Sweet snacks,Cocoa and its products,Bars,Chocolates,Dark chocolates",4,e,http://world-en.openfoodfacts.org/product/8901262070676/dark-chocolate-amul
8901260000000,Double Chocolate Milk Shake,Amul,Milk-based drinks,4,e,http://world-en.openfoodfacts.org/product/8901262152143/double-chocolate-milk-shake-amul
8901260000000,Epic Choco Almond with Beligian Chocolate,Amul,Chocolate ice cream bars,4,e,http://world-en.openfoodfacts.org/product/8901262178198/epic-choco-almond-with-beligian-chocolate-amul
8901260000000,FRUIT N' NUT Dark Chocolate,Amul,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolates, Dark chocolates, Dark chocolate bar with dried fruits, Composite chocolate",4,e,http://world-en.openfoodfacts.org/product/8901262070539/fruit-n-nut-dark-chocolate-amul
8901260000000,Garlic & Herbs Buttery Spread,Amul,"Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters, Butter fat",4,e,http://world-en.openfoodfacts.org/product/8901262010344/garlic-herbs-buttery-spread-amul
8901260000000,Ice Cream Sandwich Vanilla,Amul,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream sandwiches",4,e,http://world-en.openfoodfacts.org/product/8901262178259/ice-cream-sandwich-vanilla-amul
8901260000000,Ice Malai,Amul,"Desserts,Ice cream in individual cup,Frozen desserts",4,c,http://world-en.openfoodfacts.org/product/8901262301695/ice-malai-amul
8901260000000,Lassi Pineapple,Amul,"Dairy drinks,Lassi",4,e,http://world-en.openfoodfacts.org/product/8901262152631/lassi-pineapple-amul
8901260000000,Lite Bread Spread,Amul,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Salted spreads, Spreadable fats, Vegetable fats, Margarines",4,d,http://world-en.openfoodfacts.org/product/8901262140065/lite-bread-spread-amul
8901260000000,Mawa Malai Kulfi,Amul,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, Ice cream bars",4,d,http://world-en.openfoodfacts.org/product/8901262176477/mawa-malai-kulfi-amul
8901260000000,Milk Shake Double Chocolate,Amul,"Beverages, Dairies, Dairy drinks, Flavoured milks, Chocolate milks",4,e,http://world-en.openfoodfacts.org/product/8901262152136/milk-shake-double-chocolate-amul
8901260000000,Peanut Butter,Amul,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Spreads,Plant-based spreads,Oilseed purees,Legume butters,Peanut butters",4,c,http://world-en.openfoodfacts.org/product/8901262010511/peanut-butter-amul
8901260000000,Pista malai kulfi,Amul,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams, Icecream",4,e,http://world-en.openfoodfacts.org/product/8901262176446/pista-malai-kulfi-amul
8901260000000,Protein Buttermilk,Amul,"Beverages, Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Dairy drinks, Fermented dairy desserts, Fermented drinks, Fermented milk drinks, Yogurts, Drinkable yogurts",4,b,http://world-en.openfoodfacts.org/product/8901262152952/protein-buttermilk-amul
8901260000000,Protein Kulfi,Amul,Kulfi,4,a,http://world-en.openfoodfacts.org/product/8901262301862/protein-kulfi-amul
8901260000000,Protein Lassi - Mango flavour,Amul,"Beverages, Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Dairy drinks, Fermented dairy desserts, Fermented drinks, Fermented milk drinks, Yogurts, Drinkable yogurts",4,c,http://world-en.openfoodfacts.org/product/8901262152945/protein-lassi-mango-flavour-amul
8906090000000,Protein Water,Amul,beverages,4,b,http://world-en.openfoodfacts.org/product/8906090641067/protein-water-amul
8901260000000,Punjabi Kulfi Mawa Elaichi,Amul,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream bars",4,unknown,http://world-en.openfoodfacts.org/product/8901262176552/punjabi-kulfi-mawa-elaichi-amul
8901260000000,Sugar free dark chocolate,Amul,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Chocolates with sweeteners,Dark chocolates,Dark chocolates with sweeteners,Dark chocolate bar without sugar and with artificial sweeteners",4,d,http://world-en.openfoodfacts.org/product/8901262070324/sugar-free-dark-chocolate-amul
8901260000000,Sundae Gudbud,Amul,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams",4,d,http://world-en.openfoodfacts.org/product/8901262174404/sundae-gudbud-amul
8901260000000,Super Fruit,Amul,White chocolate bar with dried fruits,4,e,http://world-en.openfoodfacts.org/product/8901262071109/super-fruit-amul
8901260000000,Twilight Tryst Single Origin Dark Chocolate,Amul,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Dark chocolate bar",4,e,http://world-en.openfoodfacts.org/product/8901262071703/twilight-tryst-single-origin-dark-chocolate-amul
8901260000000,Vanilla ice cream,Amul,Ice cream in a box,4,d,http://world-en.openfoodfacts.org/product/8901262173490/vanilla-ice-cream-amul
8901060000000,,Britannia,en:biscuits,4,d,http://world-en.openfoodfacts.org/product/8901063014411/britannia
