code,product_name,brands,energy-kcal_100g,carbohydrates_100g,sugars_100g,proteins_100g,fat_100g,saturated-fat_100g,salt_100g,nova_group,nutriscore_grade,url
8901262260947,Buffalo Milk A2,Amul,91,5,5,3.2,6.5,4.2,0.125,1,d,http://world-en.openfoodfacts.org/product/8901262260947/buffalo-milk-a2-amul
8901262261425,Amul A2 Gir Cow Fresh Milk,Amul,67,4.7,4.7,3,4,3,0.12,1,c,http://world-en.openfoodfacts.org/product/8901262261425/amul-a2-gir-cow-fresh-milk
8901262260374,Amul Cow Milk,Amul,67,4.7,4.7,3,4,2.4,0.11,1,c,http://world-en.openfoodfacts.org/product/8901262260374/amul-cow-milk
8901262260114,Gold Milky Milk,Amul,87,5,5,3.2,6,3.8,0.105,1,c,http://world-en.openfoodfacts.org/product/8901262260114/gold-milky-milk-amul
8901262260152,Slim 'n' Trim,Amul,46,5,5,3.2,1.5,1,0.105,1,b,http://world-en.openfoodfacts.org/product/8901262260152/slim-n-trim-amul
8901262261197,Slim 'n' Trim,Amul,45.8,5,5,3.16,1.47,1,0.105,1,b,http://world-en.openfoodfacts.org/product/8901262261197/slim-n-trim-amul
8901262150989,Amul Gold,Amul,71,4.7,4.7,3,4.5,2.7,0.1,1,c,http://world-en.openfoodfacts.org/product/8901262150989/amul-gold
8901262150217,Amul Taaza 500ml,Amul,58.2,4.8,4.8,3,3,2,0.0925,1,c,http://world-en.openfoodfacts.org/product/8901262150217/amul-taaza-500ml
8901262151269,Amul Moti,Amul,58.2,4.8,4.8,3,3,2,0.0925,1,c,http://world-en.openfoodfacts.org/product/8901262151269/amul-moti
8901262150088,Amul Taaza 200ml,Amul,58,4.8,4.8,3,3,2,0.0925,1,c,http://world-en.openfoodfacts.org/product/8901262150088/amul-taaza-200ml
8901262151863,Amul Fresh Cream,Amul,247,3.5,3.5,2,25,15,0.0475,1,e,http://world-en.openfoodfacts.org/product/8901262151863/amul-fresh-cream
8901262260107,Amul Gold Milky Milk,Amul,87,5,0,3.1,6,3.9,0,1,b,http://world-en.openfoodfacts.org/product/8901262260107/amul-gold-milky-milk
8901262151368,Moti,Amul,,,,,,,,1,b,http://world-en.openfoodfacts.org/product/8901262151368/moti-amul
8901262010023,Amul pasteurised butter,Amul,724,0,0,1,80,48,2.3875,2,e,http://world-en.openfoodfacts.org/product/8901262010023/amul-pasteurised-butter
8901262030908,Amul Cow Ghee,Amul,897,0,0,0,99.7,60,0.7,2,e,http://world-en.openfoodfacts.org/product/8901262030908/amul-cow-ghee
8901262030663,Amul cow ghee,Amul,897,0,0,0,99.7,65,0,2,e,http://world-en.openfoodfacts.org/product/8901262030663/amul-cow-ghee
8901262151931,Amul Kadhai Doodh,Amul,176,20,20,6.7,8.7,5.2,0.25,3,e,http://world-en.openfoodfacts.org/product/8901262151931/amul-kadhai-doodh
8901262202299,Amul High Protein,Amul,68,10,10,6.3,0.1,0.1,0.21,3,b,http://world-en.openfoodfacts.org/product/8901262202299/amul-high-protein
8901262200622,Amul Masti,Amul,65,4.6,4.6,4,3.1,2,0.125,3,b,http://world-en.openfoodfacts.org/product/8901262200622/amul-masti
8901262200011,Masti Dahi,Amul,55,3.9,3.9,3.4,2.6,1.7,0.1075,3,b,http://world-en.openfoodfacts.org/product/8901262200011/masti-dahi-amul
8901262202381,Amul Curd,Amul,53,3.5,3.5,3,3,2,0.1,3,b,http://world-en.openfoodfacts.org/product/8901262202381/amul-curd
8901262202428,Curd,Amul,53,3.5,3.5,3,3,2,0.1,3,b,http://world-en.openfoodfacts.org/product/8901262202428/curd-amul
8901262201995,Amul Buttermilk,Amul,23,2.5,2.5,1.3,0.7,0.4,0.075,3,a,http://world-en.openfoodfacts.org/product/8901262201995/amul-buttermilk
8901262180146,Amul Malai Paneer,Amul,312,4,4,20,24,14.4,0.06,3,c,http://world-en.openfoodfacts.org/product/8901262180146/amul-malai-paneer
8901262180016,Malai Paneer,Amul,314,4.5,4.5,20,25,15,0.055,3,c,http://world-en.openfoodfacts.org/product/8901262180016/malai-paneer-amul
