SKU,MRP
Maaza Tetra 135ml,9
Maaza 200ml RGB 200ml,14
Maaza 250ml PET 250ml,19
Maaza 600ml PET 600ml,35
Maaza 1.2L PET 1.2L,70
Maaza 1.5L PET 1.5L,85
Maaza 1.75L PET 1.75L,95
Minute Maid Apple 125ml Tetra,9
Minute Maid Nimbu Masala 125ml Tetra,9
Minute Maid Mixed Fruit 125ml Tetra,9
Minute Maid Pulpy Orange 250ml PET,24
Minute Maid Pulpy Orange 400ml PET,33
Minute Maid Pulpy Orange 1000ml PET,85
Advanced Hydration Limca Gluco Charge 150ml Tetra,9
Body Armor Lyte 200ml Tetra,38
Kinley 500ml PET,9
Kinley 1000ml PET,18
Kinley 2000ml PET,28
Kinley 20 Itr Jar,100
Kinley Plus 1000ml PET,27
Kinley Plus 2000ml PET,40
Schweppes 1000ml PET,90
Smart Water 750ml PET,50
Kinley Soda 250ml PET,11
Kinley Soda 300ml RGB,11
Kinley Soda 750ml PET,18
Kinley Soda 1.25 Itr PET,30
Schweppes Soda Water 300ml CAN,55
