SKU,MRP,HSN
HAMDARD LEMON SQUASH-750 ML,155,20089912
HAMDARD ORANGE SQUASH-750 ML,155,20089913
ROOHAFZA FUSION LEMON - 180 ML,18,22029920
ROOHAFZA-FUSION LITCHI-180 ML.,18,22029920
ROOHAFZA FUSION ORANGE-180 ML,18,22029920
ROOHAFZA FUSION PINEAPPLE & ORANGE-180 ML,18,22029920
ROOHAFZA FUSION MANGO-180 ML,18,22029920
HAMDARD APPLE ELECTROLYTE 200 ML,37,22029920
ROOHAFZA MILKSHAKE 180 ML,37,22029930
HAMDARD ASLI MANGO MILKSHAKE 180ML,32,22029930
HAMDARD ASLI STRAWBERRY MILKSHAKE 180ML,37,22029930
HAMDARD ASLI VANILLA MILKSHAKE 180ML,37,22029930
HAMDARD ASLI CHOCOLATE MILKSHAKE 180 ML,37,22029930
HAMDARD NARIYAL PAANI 200ML,50,20098990
HAMDARD REFRESH NARIYAL PAANI (COCONUT WATER) 200 ML,32,20098990
HAMDARD KHAALIS GINGER GARLIC PASTE 200GM,45,20049000
HAMDARD SOYA CHUNKS 40GM,9,21061000
HAMDARD SOYA CHUNKS 85GM,14,21061000
HAMDARD SOYA CHUNKS 200GM,51,21061000
HAMDARD SOYA MINI CHUNKS 40GM,9,21061000
HAMDARD SOYA MINI CHUNKS 85GM,14,21061000
HAMDARD SOYA MINI CHUNKS 200GM,51,21061000
SHARBAT ROOH AFZA-750 ML -,160,21069011
SHARBAT ROOH AFZA-250 ML,65,21069011
SHARBAT HAMDARD JAM-E-SHIRIN (SHT. KHAS) 250 ML,62,21069011
SHARBAT HAMDARD JAM-E-SHIRIN (SHT. GULAB) 250 ML,62,21069011
SHARBAT HAMDARD JAM-E-SHIRIN (SHT. SANDAL) 250 ML,62,21069011
ROOH AFZA LITE 250ML,110,21069011
HAMDARD ROOH AFZA LITE 750ML,325,21069011
SHARBAT HAMDARD JAM-E-SHIRIN (SHT. KHAS) 750 ML,150,21069011
SHARBAT ROOH AFZA SACHET 30ML,8.5,21069011
HAMDARD KHAALIS INSTANT PAKORA MIX 120GM,44,21069099
HAMDARD GLUCOSE D REGULAR 75+50 GM,26,17024020
HAMDARD GLUCOSE D'REGULAR 200+50 GM-,53,17024020
HAMDARD GLUCOSE D REGULAR 400+100 GM,103,17024020
HAMDARD GLUCOSED REGULAR 800+200 GM-PET JAR,186,17024020
HAMDARD GLUCOSED ORANGE 75+50 GM,40,17024020
HAMDARD GLUCOSE D ORANGE 400+100 GM,153,17024020
HAMDARD GLUCOSE ORANGE 800+200 GM,302,17024020
GLUCOSE D ORANGE 800+200 GM (SIPPER FREE),302,17024020
