App,Stars,Reviews (in thousands),"Downloads (in millions, rounded)",Last Updated,Data shared with third parties,Data collected,Data is encrypted in transit,You can request that data be deleted,Developer,Google Play Store URL
Galaxy Wearable (Samsung Gear),3.8,1740,500,17-Jun-24,Yes,No,Yes,No,"Samsung Electronics Co., Ltd.",https://play.google.com/store/apps/details?id=com.samsung.android.app.watchmanager&hl=en
Da Fit (Fire-Boltt),4.3,299,50,17-Nov-24,Yes,No,Yes,No,MO YOUNG LTD,https://play.google.com/store/apps/details?id=com.crrepa.band.dafit
NoiseFit,4.3,1680,10,5-Dec-24,Yes,Yes,Yes,Yes,Noise,https://play.google.com/store/apps/details?id=com.noisefit
boAt Wearables,4,44.2,10,21-Aug-24,No,Yes,No,Yes,Imagine Marketing Limited,https://play.google.com/store/apps/details?id=com.boAt.wristgear
Fastrack Smart World,4.3,229,5,5-Dec-24,No,Yes,Yes,Yes,Titan Company Limited,https://play.google.com/store/apps/details?id=com.titan.fastrack.reflex
Google Pixel Watch,4.8,66.9,5,21-Nov-24,No,Yes,Yes,Yes,Google LLC,https://play.google.com/store/apps/details?id=com.google.android.apps.wear.companion&hl=en
Fossil Smartwatches,4.5,107,1,6-Oct-24,No,Yes,Yes,Yes,"Fossil Group, Inc.",https://play.google.com/store/apps/details?id=com.fossil.wearables.fossil&hl=en
OnePlus Health,3.4,15.9,1,26-Apr-23,No,Yes,Yes,Yes,OnePlus Ltd.,https://play.google.com/store/apps/details?id=com.oneplus.health.international
ZEB-FIT 20 Series,4.2,4.07,1,15-May-24,Yes,No,Yes,No,Zebronics India Pvt. Ltd.,https://play.google.com/store/apps/details?id=com.crrepa.band.zeb
beatXP FIT,4.4,44.8,1,20-Jul-24,No,No,Yes,Yes,GHV Medical Anchor Private Limited,https://play.google.com/store/apps/details?id=com.beatxp.dafit&hl=en_IN
BoultFit,4.4,9.28,1,2-Dec-24,No,No,No,No,Boult,https://play.google.com/store/apps/details?id=com.crrepa.band.boultfit&hl=en_IN
Zepp Active,3.3,2.99,0.5,23-Oct-24,No,Yes,Yes,Yes,Smart Watch Tech Dev,https://play.google.com/store/apps/details?id=com.huami.watch.pop
Vibez Pro Plus,3.7,0.134,0.05,29-Sep-2024,Yes,Yes,Yes,No,Lifelong Online Retail Private Limited,https://play.google.com/store/apps/details?id=com.vibez.lifelong&hl=en_IN
Crossbeats.Fit,3,0.068,0.01,25-Apr-24,No,No,No,Yes,SELLBRITE DIGITAL LLP,https://play.google.com/store/apps/details?id=com.crossbeats.fit&hl=en_IN
