code,product_name,brands,categories,quantity,nova_group,nutriscore_grade,creator,last_modified_t
00024907,"{'lang': 'main', 'text': 'Teriyaki Dip Sauce Marinade'}; {'lang': 'fr', 'text': 'Teriyaki'}; {'lang': 'en', 'text': 'Teriyaki Dip Sauce Marinade'}",Marks & Spencer,"Condiments, Sauces, Barbecue sauces",305 g,,e,teolemon,1774630670
0012345678905,"{'lang': 'main', 'text': 'Sphère plaisir'}; {'lang': 'fr', 'text': 'Sphère plaisir'}; {'lang': 'en', 'text': 'Whole Leaves Cactus'}; {'lang': 'de', 'text': 'Funeralopolis'}","Alteña's Nopales, Laugar","Imbiss, Auf Fleisch basierende Lebensmittel, Salzige Snacks, Vorspeisen, Fleisch, Zubereitetes Fleisch, Beverages",1,4,c,teamfive,1772195209
0070970474088,"{'lang': 'main', 'text': 'Chewy spicy candies'}; {'lang': 'en', 'text': 'Chewy spicy candies'}","Hot Tamale, Hot Tamales","Snacks, Sweet snacks, Confectioneries, Candies",,4,e,stephane,1771270138
0074305001161,"{'lang': 'main', 'text': 'APPLE CIDER VINEGAR'}; {'lang': 'ja', 'text': 'アップルサイダービネガー'}; {'lang': 'en', 'text': 'APPLE CIDER VINEGAR'}",BRAGG,,473 ml,2,not-applicable,openfoodfacts-contributors,1781198408
0075779311145,"{'lang': 'main', 'text': 'Organic Raw Cane Sugar'}; {'lang': 'en', 'text': 'Organic Raw Cane Sugar'}",Florida Crystals,,32 oz,2,d,usda-ndb-import,1780277946
0096619121731,"{'lang': 'main', 'text': 'Jelly Belly'}; {'lang': 'en', 'text': 'Jelly Belly'}; {'lang': 'es', 'text': 'Jelly Belly'}","Kirkland Signature,Jelly Belly","Snacks, Sweet snacks, Confectioneries, Candies, Gummi candies, Jelly beans",64 oz (4 lb) 1.81 kg,4,d,veganeamos,1695523150
0300676270401,,,,,,unknown,openfoodfacts-contributors,1492083791
0312843536364,,,,,,unknown,openfoodfacts-contributors,1766804660
0610708495963,"{'lang': 'main', 'text': 'rostaa Salted Mix'}; {'lang': 'hi', 'text': 'Salted Mix'}; {'lang': 'en', 'text': 'rostaa Salted Mix'}",Rostaa,nuts,340g,,unknown,openfoodfacts-contributors,1724588645
0639382000393,,,,,,unknown,openfoodfacts-contributors,1499685876
06494437,"{'lang': 'main', 'text': 'Polar Ice Gum'}; {'lang': 'en', 'text': 'Polar Ice Gum'}","Excel, Wrigley's","Snacks, Sweet snacks, Confectioneries, Chewing gum, Sugar-free chewing gum",16.8 g,4,not-applicable,openfoodfacts-contributors,1773952779
0690225106542,"{'lang': 'main', 'text': 'Brown Rice India gate 1 kg'}; {'lang': 'en', 'text': 'Brown Rice India gate 1 kg'}; {'lang': 'hi', 'text': 'Brown Rice'}",India Gate,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Seeds, Cereals and their products, Cereal grains, Rices, Brown rices, en:basmati-rices",1kg,,unknown,vansh1sh,1714135191
0706502242329,,,,,,unknown,openfoodfacts-contributors,1511286653
0716270001660,"{'lang': 'main', 'text': 'Ginger Crystallized In Dark Chocolate'}; {'lang': 'en', 'text': 'Ginger Crystallized In Dark Chocolate'}",Chocolove,"Condiments,Sweet snacks,Confectioneries,Fruits based foods,Herbs and spices,Candied fruits,Ginger,Crystallized ginger,Groceries",3.2 g,4,not-applicable,usda-ndb-import,1763992056
0737628005000,"{'lang': 'main', 'text': 'Peanut Satay Sauce Medium Spicy'}; {'lang': 'en', 'text': 'Peanut Satay Sauce Medium Spicy'}",Asian Creations,"Condiments, Sauces, Peanut sauces, Satay sauces",227 mL,4,e,usda-ndb-import,1775035149
